Library,Version,original,JCov,JaCoCo,JVM,Yajta,validation
apache/commons-lang,3.8.1,4120,4120,4120,0,4120,4120
apache/commons-math,3.4.1,6216,6216,6216,0,6216,6216
apache/commons-math,3.3,5974,5974,5974,0,5974,5974
apache/commons-math,3.4,6216,6216,6216,0,6216,6216
apache/commons-text,1.2,612,612,612,0,612,612
apache/commons-text,1.1,512,512,512,0,512,512
apache/commons-text,1.3,898,898,898,0,898,898
apache/commons-validator,1.6,536,536,536,0,536,536
apache/commons-validator,1.5.1,487,487,487,0,487,487
apache/commons-validator,1.4.1,443,443,443,0,443,443
apache/commons-validator,1.5.0,482,482,482,0,482,482
apache/commons-validator,1.4.0,415,415,415,0,415,415
apache/sling-org-apache-sling-api,2.2.0,20,20,20,0,20,20
apache/sling-org-apache-sling-api,2.4.0,28,28,28,0,28,28
apache/sling-org-apache-sling-api,2.2.2,22,22,22,0,22,22
apache/sling-org-apache-sling-api,2.2.4,22,22,22,0,22,22
apache/sling-org-apache-sling-api,2.16.0,119,0,0,0,0,0
belerweb/pinyin4j,2.5.0,7,7,7,0,7,7
bguerout/jongo,1.1,247,247,247,0,0,247
bguerout/jongo,1.4.0,607,347,607,0,0,607
bmoliveira/snake-yaml,1.19,839,846,846,0,846,839
bmoliveira/snake-yaml,1.15,818,818,818,0,818,818
bmoliveira/snake-yaml,1.16,824,824,824,0,824,824
bmoliveira/snake-yaml,1.18,839,846,846,0,846,839
jhy/jsoup,1.10.1,510,510,510,0,510,510
jhy/jsoup,1.11.3,657,657,657,0,657,657
jhy/jsoup,1.11.2,633,633,633,0,633,633
jhy/jsoup,1.9.2,486,486,486,0,486,486
jhy/jsoup,1.7.3,409,409,409,0,409,409
jhy/jsoup,1.8.1,419,419,419,0,419,419
jhy/jsoup,1.8.3,466,466,466,0,466,466
jhy/jsoup,1.10.2,521,521,521,0,521,521
jhy/jsoup,1.7.2,387,387,387,0,387,387
jhy/jsoup,1.12.1,688,688,688,0,688,688
jhy/jsoup,1.11.1,602,602,602,0,602,602
jhy/jsoup,1.7.1,353,353,353,0,353,353
jhy/jsoup,1.9.1,480,480,480,0,480,480
jhy/jsoup,1.13.1,776,776,776,0,776,776
jhy/jsoup,1.10.3,540,540,540,0,540,540
jhy/jsoup,1.6.3,330,330,330,0,330,330
jhy/jsoup,1.8.2,452,452,452,0,452,452
jhy/jsoup,1.6.1,293,293,293,0,293,293
jhy/jsoup,1.6.0,278,278,278,0,278,278
jettison-json/jettison,1.3.3,90,90,90,0,90,90
jettison-json/jettison,1.1,67,67,67,0,67,67
jettison-json/jettison,1.3.7,115,115,115,0,115,115
jettison-json/jettison,1.4.0,121,121,121,0,121,121
jettison-json/jettison,1.3.8,119,119,119,0,119,119
jettison-json/jettison,1.3.2,82,82,82,0,82,82
jettison-json/jettison,1.3,119,119,119,0,119,119
davidmoten/guava-mini,0.1.2,47,47,47,0,47,47
davidmoten/guava-mini,0.1.1,46,46,46,0,46,46
dnsjava/dnsjava,2.1.8,625,625,625,0,625,625
dnaumenko/java-diff-utils,1.3.0,8,8,8,0,8,8
jline/jline2,2.14.5,143,143,143,0,143,143
jline/jline2,2.6,43,43,43,0,43,0
jline/jline2,2.11,98,98,98,0,98,98
jline/jline2,2.12.1,130,130,130,0,130,130
jline/jline2,2.10,89,89,89,0,89,89
j256/ormlite-jdbc,5.1,581,581,581,0,581,581
j256/ormlite-jdbc,4.40,576,576,576,0,576,576
j256/ormlite-jdbc,4.48,605,605,605,0,605,605
javatuples/javatuples,1.2,1,1,1,0,1,1
javatuples/javatuples,1.1,1,1,1,0,1,1
jeremyh/jBCrypt,0.3m,6,6,6,0,6,6
jeremyh/jBCrypt,0.4,6,6,6,0,6,6
jfree/jcommon,1.0.23,143,143,143,0,143,143
joel-costigliola/assertj-core,3.0.0,6530,6531,6531,0,6531,6531
jopt-simple/jopt-simple,4.9,757,757,757,0,757,757
jopt-simple/jopt-simple,4.3,627,627,627,0,627,627
jopt-simple/jopt-simple,4.5,694,694,694,0,694,694
jopt-simple/jopt-simple,5.0.4,808,808,808,0,808,808
jopt-simple/jopt-simple,5.0.2,806,806,806,0,806,806
jopt-simple/jopt-simple,4.8,745,745,745,0,745,745
jopt-simple/jopt-simple,5.0.3,807,807,807,0,807,807
jopt-simple/jopt-simple,5.0.1,806,806,806,0,806,806
jopt-simple/jopt-simple,4.0-beta1,573,573,573,0,573,573
julman99/gson-fire,1.8.3,79,79,79,0,79,79
julman99/gson-fire,1.8.0,71,71,71,0,71,71
julman99/gson-fire,1.8.2,77,77,77,0,77,77
kstyrc/embedded-redis,0.6,28,28,28,0,28,28
liudongdong0909/mybatis-generator-core-fix,1.3.2,26,26,26,0,26,0
logstash/logstash-logback-encoder,4.8,208,208,208,0,0,0
logstash/logstash-logback-encoder,4.11,242,205,242,0,0,0
logstash/logstash-logback-encoder,5.2,277,236,277,0,0,0
magro/kryo-serializers,0.41,274,207,274,0,274,274
magro/kryo-serializers,0.37,177,177,177,0,177,177
magro/kryo-serializers,0.29,143,143,143,0,143,143
magro/kryo-serializers,0.42,277,210,277,0,277,277
magro/kryo-serializers,0.45,381,256,381,0,381,381
maxmind/GeoIP2-java,2.3.1,58,58,58,0,58,58
mybatis/mybatis-3,3.3.0,939,939,939,0,939,939
mybatis/mybatis-3,3.2.6,887,887,887,0,887,887
mybatis/mybatis-3,3.2.8,896,896,896,0,896,896
mybatis/mybatis-3,3.2.3,1144,1144,1144,0,1144,1144
mybatis/mybatis-3,3.2.2,1118,1118,1118,0,1118,1118
mybatis/mybatis-3,3.2.1,1105,1105,1105,0,1105,1105
mybatis/mybatis-3,3.2.7,891,891,814,0,814,891
mybatis/mybatis-3,3.2.0,1102,1102,1102,0,1102,1102
omalley/base64,2.3.9,1,1,1,0,1,1
omalley/base64,2.3.8,1,1,1,0,1,1
pagehelper/Mybatis-PageHelper,5.0.0,93,93,93,0,93,93
pagehelper/Mybatis-PageHelper,4.1.0,85,85,85,0,85,85
pagehelper/Mybatis-PageHelper,4.1.6,86,86,86,0,86,86
pagehelper/Mybatis-PageHelper,5.1.10,115,115,115,0,115,115
pagehelper/Mybatis-PageHelper,4.0.0,92,92,92,0,92,92
skyscreamer/JSONassert,1.5.0,148,148,148,0,148,148
skyscreamer/JSONassert,1.2.3,121,121,121,0,121,121
skyscreamer/JSONassert,1.2.2,66,66,66,0,66,66
skyscreamer/JSONassert,1.1.1,48,48,48,0,48,48
skyscreamer/JSONassert,1.3.0,122,122,122,0,122,122
srikanth-lingala/zip4j,2.5.2,200,200,200,0,200,200
str4d/ed25519-java,0.2.0,128,128,128,0,128,128
str4d/ed25519-java,0.3.0,129,129,129,0,129,129
vert-x3/vertx-unit,3.7.0,282,282,246,0,282,0
vert-x3/vertx-unit,3.6.3,282,282,282,0,0,0
vert-x3/vertx-unit,3.8.3,282,282,282,0,246,0
zeromq/jeromq,0.4.3,352,352,352,0,352,352
zeromq/jeromq,0.3.2,57,57,57,0,57,57
zeromq/jeromq,0.3.4,66,66,66,0,66,66
zeromq/jeromq,0.5.1,550,550,550,0,550,550
zeromq/jeromq,0.3.6,87,87,87,0,87,87
zeroturnaround/zt-exec,1.7,57,57,57,0,57,57
